pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/5/6/7/6/6/7/6/7 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/7/6/6/7/5/7 3 3,X,0.5,5,SLEEP,0,7,0,1E+16
7/5/6/7/6/6/7/3/7 3 3,Z,0.625,4.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/6/7/7/6 3 3,Z,0.5,1.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/6/7/7/5 3 3,X,0.5,4.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/6/7/7/3 3 3,X,0.60,5.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/6/7/7 3 3,X,0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/5/7/7 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/3/7/7 3 3,X,0.60,5.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/6/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/5/7 3 3,X,0.5,2.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/3/7 3 3,X,0.5,3.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/7/6 3 3,X,0.40,1.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/7/5 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/7/6/5/7/7/3 3 3,X,0.60,3.125,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/6/7/7 3 3,Z,-0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/5/7/7 3 3,X,0.5,2.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/3/7/7 3 3,X,0.60,5.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/6/7 3 3,Z,-0.625,3.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/5/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/3/7 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/7/6 3 3,Z,-0.5,2.625,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/7/5 3 3,X,0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/7/6/3/7/7/3 3 3,X,0.60,6.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/2/7/7 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/6/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/5/7 3 3,X,0.5,1.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/3/7 3 3,X,0.5,2,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/7/6 3 3,X,0.3,0.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/7/5 3 3,X,0.5,2.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/6/7/3 3 3,X,0.7,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/6/7 3 3,X,0.5,3.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/5/7 3 3,X,0.5,1.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/3/7 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/7/6 3 3,X,0.4,2,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/7/5 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/5/7/3 3 3,X,0.6,3.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/6/7 3 3,X,0.6,5.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/5/7 3 3,X,0.6,3.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/3/7 3 3,X,0.6,3.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/7/6 3 3,X,-0.7,2.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/7/5 3 3,X,0.6,5.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/3/7/3 3 3,X,0.7,4.5,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/2/7 3 3,X,0.5,4.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/6/6 3 3,Z,0.5,1.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/6/5 3 3,X,0.5,2.75,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/6/3 3 3,X,0.6,4.375,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/5/6 3 3,X,0.4,2,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/5/5 3 3,X,0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/5/3 3 3,X,0.6,1.625,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/3/6 3 3,Z,-0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/7/6/7/7/3/5 3 3,X,0.5,2.5,SLEEP,0,7,0,1E+16
